frequency,channel,power,log_power
23.92578125,Fp1,5.130927911705342e-13,-12.289804087034055
24.169921875,Fp1,5.00733663941609e-13,-12.300393210333423
24.4140625,Fp1,4.754817798611094e-13,-12.322866120277327
24.658203125,Fp1,5.197266043323975e-13,-12.28422505146841
24.90234375,Fp1,4.742269895882988e-13,-12.324013732737184
25.146484375,Fp1,5.428976798705434e-13,-12.265282014342798
25.390625,Fp1,4.595225178330866e-13,-12.337693202164612
25.634765625,Fp1,4.70188818392501e-13,-12.327727703088955
25.87890625,Fp1,4.601998590771799e-13,-12.337053518657408
26.123046875,Fp1,4.2439531744165837e-13,-12.372229416524862
26.3671875,Fp1,4.996647416192864e-13,-12.301321295064975
26.611328125,Fp1,4.526321738791518e-13,-12.344254578879843
26.85546875,Fp1,4.227918980794009e-13,-12.373873343628382
27.099609375,Fp1,4.356737676439131e-13,-12.360838588584944
27.34375,Fp1,4.15024240158899e-13,-12.381926536878726
27.587890625,Fp1,4.051933000785501e-13,-12.392337744365486
27.83203125,Fp1,3.84427728462301e-13,-12.415185294562656
28.076171875,Fp1,4.111542821923272e-13,-12.385995182182606
28.3203125,Fp1,3.293033790853121e-13,-12.482403812833262
28.564453125,Fp1,3.1719287129952945e-13,-12.49867658172665
28.80859375,Fp1,3.9786019908944994e-13,-12.40026950438311
29.052734375,Fp1,3.8206197961525213e-13,-12.41786617839339
29.296875,Fp1,3.3166782452891493e-13,-12.479296657836327
29.541015625,Fp1,2.8698438718607866e-13,-12.542141729549531
29.78515625,Fp1,3.2894882191928143e-13,-12.482871664624362
30.029296875,Fp1,3.403657933085939e-13,-12.46805409289943
30.2734375,Fp1,2.853955589190012e-13,-12.544552789287167
30.517578125,Fp1,3.009908493722146e-13,-12.521446707487756
30.76171875,Fp1,3.2250449807590697e-13,-12.491464223739031
31.005859375,Fp1,3.152454299664377e-13,-12.501351200566917
31.25,Fp1,3.3396651474453374e-13,-12.476297075675568
31.494140625,Fp1,2.961990855369624e-13,-12.528416286621239
31.73828125,Fp1,3.481609733329193e-13,-12.45821991218499
31.982421875,Fp1,3.368773386133801e-13,-12.472528202572382
32.2265625,Fp1,3.382039958690051e-13,-12.47082126553305
32.470703125,Fp1,3.228316910687265e-13,-12.491023838941572
32.71484375,Fp1,3.346805047543624e-13,-12.475369584696876
32.958984375,Fp1,2.911860477979047e-13,-12.535829438114307
33.203125,Fp1,3.071255554843559e-13,-12.512684045022006
33.447265625,Fp1,3.026120079289272e-13,-12.519113842757633
33.69140625,Fp1,2.587351888949512e-13,-12.58714450169077
33.935546875,Fp1,2.960968553379469e-13,-12.528566204960006
34.1796875,Fp1,3.0104429672029724e-13,-12.521369596081367
34.423828125,Fp1,3.0959887731846e-13,-12.509200622844705
34.66796875,Fp1,2.9302928051080704e-13,-12.53308898125368
34.912109375,Fp1,2.7846731237456005e-13,-12.555225776750639
35.15625,Fp1,2.6797832293411584e-13,-12.571900335116178
35.400390625,Fp1,2.5478726949310506e-13,-12.593822275422314
35.64453125,Fp1,2.5370574394908906e-13,-12.595669700152511
35.888671875,Fp1,2.5959015831691043e-13,-12.585711776700943
36.1328125,Fp1,2.879250286645539e-13,-12.540720581254437
36.376953125,Fp1,2.710147928891559e-13,-12.567007003240745
36.62109375,Fp1,2.797923626925876e-13,-12.553164144332161
36.865234375,Fp1,2.721701656277587e-13,-12.565159482414666
37.109375,Fp1,2.938936026850848e-13,-12.531809867308827
37.353515625,Fp1,2.5856367984604243e-13,-12.587432480036625
37.59765625,Fp1,2.693247867864639e-13,-12.56972367529546
37.841796875,Fp1,2.551443599581732e-13,-12.593214027434104
38.0859375,Fp1,2.7167658699546325e-13,-12.565947787334064
38.330078125,Fp1,2.503470148002157e-13,-12.60145758286912
38.57421875,Fp1,2.6459294096484584e-13,-12.577421746470927
38.818359375,Fp1,3.1682909232683314e-13,-12.499174946852387
39.0625,Fp1,3.099095434148852e-13,-12.50876504980587
39.306640625,Fp1,2.7611153741669583e-13,-12.558915445835495
39.55078125,Fp1,2.7855250194640045e-13,-12.555092936372962
39.794921875,Fp1,2.427124543688868e-13,-12.614907938027738
0.0,Fp2,5.207160990938811e-10,-9.283398994938956
0.244140625,Fp2,4.655110572063081e-09,-8.332069998835909
0.48828125,Fp2,2.450165773049665e-09,-8.61080453119254
0.732421875,Fp2,1.0628799751408047e-09,-8.973515775060033
0.9765625,Fp2,5.626081836525357e-10,-9.249793954912928
1.220703125,Fp2,4.4686484099256576e-10,-9.34982381397601
1.46484375,Fp2,3.2200360426112976e-10,-9.49213926711796
1.708984375,Fp2,2.38768774699656e-10,-9.622022469260942
1.953125,Fp2,1.5168099208948584e-10,-9.81906883943652
2.197265625,Fp2,1.4481801155299355e-10,-9.83917741996477
2.44140625,Fp2,1.3005742915982223e-10,-9.88586483492552
2.685546875,Fp2,9.761518920511464e-11,-10.010482599600572
2.9296875,Fp2,9.357331803061444e-11,-10.028847970535612
3.173828125,Fp2,8.922802901067025e-11,-10.049498700191677
