frequency,channel,power,log_power,patient
12.20703125,Fp1,1.9891222889232083e-12,-11.701338516135513,Healthy
12.451171875,Fp1,2.2600171184150747e-12,-11.645888271292842,Healthy
12.6953125,Fp1,1.766072445674077e-12,-11.752991485293464,Healthy
12.939453125,Fp1,1.8221906663727925e-12,-11.739406182236108,Healthy
13.18359375,Fp1,1.870191312918644e-12,-11.728113964642615,Healthy
13.427734375,Fp1,1.9585811811584568e-12,-11.708058422687232,Healthy
13.671875,Fp1,1.7289210965104569e-12,-11.762224826351316,Healthy
13.916015625,Fp1,1.6359301154004625e-12,-11.786235252708831,Healthy
14.16015625,Fp1,1.5829604911154433e-12,-11.800529924496251,Healthy
14.404296875,Fp1,1.6412030898722426e-12,-11.784837674063642,Healthy
14.6484375,Fp1,1.3829934368529308e-12,-11.859179880877903,Healthy
14.892578125,Fp1,1.3170695979031589e-12,-11.880391275010377,Healthy
15.13671875,Fp1,1.4853298040393364e-12,-11.828177104480424,Healthy
15.380859375,Fp1,1.3782957177517257e-12,-11.860657593161768,Healthy
15.625,Fp1,1.5483277409811785e-12,-11.810137105000594,Healthy
15.869140625,Fp1,1.4799394758740897e-12,-11.829756045301924,Healthy
16.11328125,Fp1,1.3432247475420097e-12,-11.8718513153647,Healthy
16.357421875,Fp1,1.384675177893913e-12,-11.858652093020584,Healthy
16.6015625,Fp1,1.287766479616885e-12,-11.890162883721985,Healthy
16.845703125,Fp1,1.237110822367149e-12,-11.907591393833531,Healthy
17.08984375,Fp1,1.2483509808064832e-12,-11.903663293181346,Healthy
17.333984375,Fp1,1.2074162543361502e-12,-11.918142981935436,Healthy
17.578125,Fp1,1.4422816448426076e-12,-11.840949923488036,Healthy
17.822265625,Fp1,1.3777080583222285e-12,-11.860842801363262,Healthy
18.06640625,Fp1,1.4372083709094153e-12,-11.842480261945276,Healthy
18.310546875,Fp1,1.3867765060618149e-12,-11.857993524510697,Healthy
18.5546875,Fp1,1.2974383069107469e-12,-11.886913283656945,Healthy
18.798828125,Fp1,1.3334903745380697e-12,-11.875010114807315,Healthy
19.04296875,Fp1,1.344354084618531e-12,-11.871486328943808,Healthy
19.287109375,Fp1,1.2224066620884269e-12,-11.912784291866917,Healthy
19.53125,Fp1,1.1192397802104049e-12,-11.951076862473656,Healthy
19.775390625,Fp1,1.1676986740925625e-12,-11.932669212927578,Healthy
20.01953125,Fp1,1.1055795117258813e-12,-11.95641001811282,Healthy
20.263671875,Fp1,1.077515342056346e-12,-11.967576537480014,Healthy
20.5078125,Fp1,9.536965257629825e-13,-12.02058979946131,Healthy
20.751953125,Fp1,1.0764533227723025e-12,-11.968004797333224,Healthy
20.99609375,Fp1,9.416969626659216e-13,-12.0260888303444,Healthy
21.240234375,Fp1,1.1248516973493138e-12,-11.948904732013448,Healthy
21.484375,Fp1,9.949603684465653e-13,-12.002194217855031,Healthy
21.728515625,Fp1,9.043979792971366e-13,-12.043640416672856,Healthy
21.97265625,Fp1,8.25863489981273e-13,-12.083091732882222,Healthy
22.216796875,Fp1,9.144426785710185e-13,-12.038843512889075,Healthy
22.4609375,Fp1,9.21773164588837e-13,-12.035375939562153,Healthy
22.705078125,Fp1,8.026144292184737e-13,-12.09549303688522,Healthy
22.94921875,Fp1,7.4178079947158e-13,-12.129724412300831,Healthy
23.193359375,Fp1,6.88437137816166e-13,-12.162135709649547,Healthy
23.4375,Fp1,7.801945890674487e-13,-12.107797066003588,Healthy
23.681640625,Fp1,8.239263240526776e-13,-12.084111621419298,Healthy
23.92578125,Fp1,7.824901893193333e-13,-12.106521098830957,Healthy
24.169921875,Fp1,7.022379771527176e-13,-12.153515687513966,Healthy
24.4140625,Fp1,7.790890258699781e-13,-12.108412913014249,Healthy
24.658203125,Fp1,6.726909313724148e-13,-12.17218442705403,Healthy
24.90234375,Fp1,6.879284690990481e-13,-12.162456717419444,Healthy
25.146484375,Fp1,6.452624282323828e-13,-12.190263621870086,Healthy
25.390625,Fp1,6.104801202831618e-13,-12.214328473884366,Healthy
25.634765625,Fp1,6.126468445307708e-13,-12.212789799002818,Healthy
25.87890625,Fp1,6.546675433607676e-13,-12.1839791896855,Healthy
26.123046875,Fp1,6.730624966144856e-13,-12.17194460787907,Healthy
26.3671875,Fp1,7.342307061912384e-13,-12.134167456864777,Healthy
26.611328125,Fp1,6.509670368446059e-13,-12.18644100233648,Healthy
26.85546875,Fp1,6.39452642256255e-13,-12.194191613762914,Healthy
27.099609375,Fp1,6.538408463049485e-13,-12.184527951955811,Healthy
27.34375,Fp1,5.12465701602585e-13,-12.290335195839411,Healthy
27.587890625,Fp1,5.56667643299534e-13,-12.254404021633349,Healthy
