frequency,channel,power,log_power
0.0,Fp1,6.140632823336475e-10,-9.211786870304897
0.244140625,Fp1,4.21911048046885e-09,-8.374779102153136
0.48828125,Fp1,2.1483813989891717e-09,-8.667888616467517
0.732421875,Fp1,1.0000912921076444e-09,-8.999960354151058
0.9765625,Fp1,6.147633576584365e-10,-9.211292026079565
1.220703125,Fp1,3.475028974835223e-10,-9.459041569905928
1.46484375,Fp1,2.6279957131511937e-10,-9.580375347543116
1.708984375,Fp1,2.2317585855639624e-10,-9.651352785822217
1.953125,Fp1,1.3990921848969967e-10,-9.854153669301523
2.197265625,Fp1,1.2014846070267122e-10,-9.920281788843587
2.44140625,Fp1,9.402143165724355e-11,-10.026773140128121
2.685546875,Fp1,6.349963696202573e-11,-10.197228757634633
2.9296875,Fp1,5.461929594730081e-11,-10.262653902295387
3.173828125,Fp1,4.730818168410222e-11,-10.325063743977148
3.41796875,Fp1,3.746747421724798e-11,-10.426345582873228
3.662109375,Fp1,3.0235213635083606e-11,-10.519486958422016
3.90625,Fp1,2.7290510121487743e-11,-10.563988346306042
4.150390625,Fp1,2.308742162106163e-11,-10.636624565925203
4.39453125,Fp1,1.822178153714956e-11,-10.739409164468983
4.638671875,Fp1,1.7043594024030214e-11,-10.768438819180767
4.8828125,Fp1,1.4219963204092316e-11,-10.847101527395306
5.126953125,Fp1,1.3127524798832722e-11,-10.88181715262681
5.37109375,Fp1,1.1908583592085898e-11,-10.924139890467018
5.615234375,Fp1,9.568769295732856e-12,-11.019143916187907
5.859375,Fp1,8.733404233674645e-12,-11.058816437655413
6.103515625,Fp1,7.587169421107828e-12,-11.119920218053933
6.34765625,Fp1,7.498165543411607e-12,-11.125044975518025
6.591796875,Fp1,6.1900896917077625e-12,-11.20830305819611
6.8359375,Fp1,6.425043049824656e-12,-11.192123958076253
7.080078125,Fp1,6.548193463381259e-12,-11.183878498038693
7.32421875,Fp1,5.4407007239736175e-12,-11.264345162625888
7.568359375,Fp1,5.309836131394187e-12,-11.2749188816171
7.8125,Fp1,4.90609194088631e-12,-11.309264317310749
8.056640625,Fp1,4.565916753026414e-12,-11.34047201094277
8.30078125,Fp1,4.104518811959525e-12,-11.386737749521362
8.544921875,Fp1,3.773372320921167e-12,-11.423270340586459
8.7890625,Fp1,3.458660651782009e-12,-11.461092046915464
9.033203125,Fp1,3.250774953755528e-12,-11.488013095014836
9.27734375,Fp1,3.3382543956481547e-12,-11.476480570467924
9.521484375,Fp1,2.548087379693749e-12,-11.593785683138828
9.765625,Fp1,2.5338971284114147e-12,-11.596211020656266
10.009765625,Fp1,2.418467520740045e-12,-11.616459740674985
10.25390625,Fp1,2.593343609020168e-12,-11.586139936907898
10.498046875,Fp1,2.2040609822783638e-12,-11.656776393531414
10.7421875,Fp1,2.0332267861872365e-12,-11.691814177438408
