frequency,channel,power,log_power
0.0,Fp1,8.213279326243291e-10,-9.085483406956776
0.244140625,Fp1,6.427943599321457e-09,-8.191927942520225
0.48828125,Fp1,2.700715482031533e-09,-8.568521165939238
0.732421875,Fp1,1.272966758566831e-09,-8.895182937084355
0.9765625,Fp1,8.289495792009507e-10,-9.081471884577281
1.220703125,Fp1,4.689270083280504e-10,-9.328894752908319
1.46484375,Fp1,3.9282067011336793e-10,-9.405805667830123
1.708984375,Fp1,2.1954574317313923e-10,-9.658474979121372
1.953125,Fp1,1.7788158717974555e-10,-9.74986900413692
2.197265625,Fp1,1.3698218686234872e-10,-9.863335904744098
2.44140625,Fp1,9.946798834273466e-11,-10.00231666521384
2.685546875,Fp1,8.952251957746729e-11,-10.048067703253698
2.9296875,Fp1,6.793461515399753e-11,-10.167908880509668
3.173828125,Fp1,5.990268565731626e-11,-10.222553706158166
3.41796875,Fp1,5.2991185995611305e-11,-10.275796360433102
3.662109375,Fp1,4.208945011732722e-11,-10.375826748107299
3.90625,Fp1,3.3901700301155645e-11,-10.469778519705722
4.150390625,Fp1,2.994637625160029e-11,-10.5236557231628
4.39453125,Fp1,2.481755695372989e-11,-10.605240972786325
4.638671875,Fp1,1.8914879389152526e-11,-10.723196423643905
4.8828125,Fp1,1.7237099633188234e-11,-10.763535808074478
5.126953125,Fp1,1.665536013024039e-11,-10.778445972346251
5.37109375,Fp1,1.448350781136548e-11,-10.839126242101365
5.615234375,Fp1,1.247140506276111e-11,-10.904084614955414
5.859375,Fp1,1.0875928963126214e-11,-10.963533637699381
6.103515625,Fp1,1.0475672867241272e-11,-10.979818072118727
6.34765625,Fp1,9.419231325901804e-12,-11.025984537179555
6.591796875,Fp1,7.561102866942219e-12,-11.121414853428128
6.8359375,Fp1,6.854876410667569e-12,-11.164000370874316
7.080078125,Fp1,6.529362790814746e-12,-11.185129200032135
7.32421875,Fp1,5.736645006919758e-12,-11.241342024146835
7.568359375,Fp1,6.149492991060454e-12,-11.21116068914516
7.8125,Fp1,5.34523166813933e-12,-11.272033467253296
8.056640625,Fp1,5.5039487262654905e-12,-11.259325620558098
8.30078125,Fp1,4.825907387167037e-12,-11.31642101678866
8.544921875,Fp1,4.0150743227260185e-12,-11.396306411119786
8.7890625,Fp1,4.18608459507087e-12,-11.378191999408406
9.033203125,Fp1,4.158131614085821e-12,-11.381101768403637
9.27734375,Fp1,3.994267350615134e-12,-11.398562869607778
9.521484375,Fp1,3.508971043407077e-12,-11.45482021563766
9.765625,Fp1,3.393663630366039e-12,-11.469331205835475
10.009765625,Fp1,2.8000735509681158e-12,-11.552830560672046
10.25390625,Fp1,2.671327378108144e-12,-11.573272884800291
10.498046875,Fp1,2.9077095287625567e-12,-11.536448980328943
10.7421875,Fp1,2.6135022142347284e-12,-11.582777127619218
10.986328125,Fp1,2.472137898393059e-12,-11.60692730751493
11.23046875,Fp1,2.2721034115620228e-12,-11.64357190621423
11.474609375,Fp1,2.3107458955075987e-12,-11.636247809711886
11.71875,Fp1,1.949123727114111e-12,-11.710160591720033
11.962890625,Fp1,1.70408600302025e-12,-11.768508490734467
12.20703125,Fp1,1.833287340914904e-12,-11.736769460409464
12.451171875,Fp1,1.8341442262967083e-12,-11.736566516963679
12.6953125,Fp1,1.8403836685426032e-12,-11.73509162929406
12.939453125,Fp1,1.8023255177436648e-12,-11.744166768411002
13.18359375,Fp1,1.690336229127869e-12,-11.772026900160839
13.427734375,Fp1,1.6111137376365322e-12,-11.79287379919324
13.671875,Fp1,1.6612354895659366e-12,-11.779568799475225
13.916015625,Fp1,1.354816952587851e-12,-11.868119377742424
14.16015625,Fp1,1.2909605947825136e-12,-11.8890870139146
14.404296875,Fp1,1.3369935163265813e-12,-11.873870698819104
14.6484375,Fp1,1.1731539994965301e-12,-11.93064497446449
14.892578125,Fp1,1.2802074152964508e-12,-11.892719661585625
15.13671875,Fp1,1.2557558884638081e-12,-11.901094776679189
15.380859375,Fp1,1.1515904078367582e-12,-11.93870196123136
15.625,Fp1,1.1688673932727117e-12,-11.932234756277495
15.869140625,Fp1,1.1521370203672062e-12,-11.93849586843821
16.11328125,Fp1,1.1331019692782922e-12,-11.945731005668634
16.357421875,Fp1,1.1054664949858908e-12,-11.956454415693365
