frequency,channel,power,log_power
23.92578125,Fp1,7.824901893193333e-13,-12.106521098830955
24.169921875,Fp1,7.022379771527176e-13,-12.153515687513966
24.4140625,Fp1,7.790890258699781e-13,-12.108412913014247
24.658203125,Fp1,6.726909313724148e-13,-12.17218442705403
24.90234375,Fp1,6.879284690990481e-13,-12.162456717419444
25.146484375,Fp1,6.452624282323828e-13,-12.190263621870086
25.390625,Fp1,6.104801202831618e-13,-12.214328473884366
25.634765625,Fp1,6.126468445307707e-13,-12.212789799002818
25.87890625,Fp1,6.546675433607675e-13,-12.1839791896855
26.123046875,Fp1,6.730624966144855e-13,-12.17194460787907
26.3671875,Fp1,7.342307061912383e-13,-12.134167456864777
26.611328125,Fp1,6.509670368446059e-13,-12.18644100233648
26.85546875,Fp1,6.39452642256255e-13,-12.194191613762914
27.099609375,Fp1,6.538408463049485e-13,-12.184527951955811
27.34375,Fp1,5.124657016025849e-13,-12.290335195839413
27.587890625,Fp1,5.566676432995339e-13,-12.254404021633349
27.83203125,Fp1,5.120770892507643e-13,-12.290664654422491
28.076171875,Fp1,5.27579881332138e-13,-12.277711774143546
28.3203125,Fp1,5.314883621384089e-13,-12.274506240669199
28.564453125,Fp1,4.952234730999209e-13,-12.30519877837371
28.80859375,Fp1,4.724881458741494e-13,-12.3256090829135
29.052734375,Fp1,5.319016224317097e-13,-12.274168684971647
29.296875,Fp1,5.494857526354912e-13,-12.260043563717295
29.541015625,Fp1,5.056177216996972e-13,-12.296177712610346
29.78515625,Fp1,4.796090903452436e-13,-12.319112594027391
30.029296875,Fp1,4.4088395245343173e-13,-12.355675708585242
30.2734375,Fp1,5.135465584771361e-13,-12.289420176851328
30.517578125,Fp1,4.490224898694115e-13,-12.347731906253742
30.76171875,Fp1,5.052301829652748e-13,-12.296510712147374
31.005859375,Fp1,5.172398362816463e-13,-12.286308034427648
31.25,Fp1,5.154858728852678e-13,-12.287783232246698
31.494140625,Fp1,4.28700761303414e-13,-12.367845745251723
31.73828125,Fp1,4.388320604920316e-13,-12.357701650955711
31.982421875,Fp1,4.845816337196313e-13,-12.314633050217854
32.2265625,Fp1,4.663564274126285e-13,-12.331282033331059
32.470703125,Fp1,4.36973883219278e-13,-12.359544518893875
32.71484375,Fp1,4.844787036776905e-13,-12.314725308558598
32.958984375,Fp1,4.239566528180184e-13,-12.372678545304215
33.203125,Fp1,3.882240057036033e-13,-12.410917613661018
33.447265625,Fp1,4.131185390667795e-13,-12.3839253152298
33.69140625,Fp1,4.3166633748148413e-13,-12.36485181749165
33.935546875,Fp1,4.2832154995933756e-13,-12.368230074580822
34.1796875,Fp1,4.365621344488394e-13,-12.359953935857934
34.423828125,Fp1,3.85974934993704e-13,-12.413440897264431
